corrente_A,tensione_V,velocita_mm_s,flusso_gas_l_min,temperatura_C,spessore_mm,tipo_giunto,posizione,quality_score,qualita,difetto,target_ok
290.14286128198324,34.6398788362281,31.93963178886665,12.340279606636548,18.119890406724053,4.370861069626263,fillet,overhead,0.472,scarsa,mancata_fusione,0
293.98197043239884,36.648852816008436,14.555259980522427,12.727374508106509,18.668090197068675,1.185260448662222,butt,vertical,0.0,difettosa,crack,0
158.2458280396084,32.23705789444759,11.277223729341882,14.382169728028273,22.327236865873836,4.887505167779041,butt,vertical,0.591,accettabile,porosità_minima,0
193.35257864959598,37.19880813472641,35.61383923645009,16.757488779543145,15.265299223197331,9.849077972261094,lap,vertical,0.636,accettabile,rinforzo_eccessivo,0
103.19325044404283,24.61787651244298,15.846145971170527,20.248952782381874,27.199933155652417,4.468748522859245,fillet,overhead,0.57,accettabile,rinforzo_eccessivo,0
185.03117489824893,24.158833257363774,30.546514751899615,10.469699386833378,31.84569549189997,7.798252692858872,butt,vertical,0.522,scarsa,inclusioni,0
245.45439917128417,26.530815376116706,30.669978848242973,17.812513900387355,34.22344048698698,9.339929792144147,lap,flat,0.799,buona,nessuno,1
156.18690193747614,30.853921663164968,11.341590123864318,22.032954711310595,16.491012873595416,4.210779940242304,fillet,flat,0.615,accettabile,rinforzo_eccessivo,0
158.69763494360762,20.28159645430169,13.947908183996232,20.67012929122975,30.80351081062411,4.5539336635801275,fillet,flat,0.768,buona,nessuno,1
270.00771555795984,28.98901348276407,9.293455242068509,15.562273782973996,28.376825053272146,9.234637079894027,lap,overhead,0.656,accettabile,rinforzo_eccessivo,0
277.44254851526534,29.444298503238986,10.381741067223576,20.698671808344926,30.21570097233795,6.738017242196918,butt,overhead,0.525,scarsa,porosità,0
122.17816416236627,28.7867300373154,14.07736410509283,23.43645393510279,24.507404463642235,7.3959660071720865,lap,vertical,0.499,scarsa,porosità,0
182.07658460712594,35.11102277086097,15.29591744712301,11.154698647431895,20.79502905827536,3.2436300623398746,butt,vertical,0.246,difettosa,crack,0
260.7344153798229,23.731401177720716,45.165154932049,18.090133628734762,31.14880310328125,8.84314531168946,lap,overhead,0.713,buona,nessuno,1
154.42644987692705,32.95380241082725,5.023416964789212,15.288532845012536,21.09562516316058,9.161455973911787,butt,overhead,0.323,difettosa,penetrazione_insufficiente,0
148.82510444955483,23.36582084345861,14.84438988078816,18.371530030260118,23.076723421160814,3.424711004186693,butt,flat,0.769,buona,nessuno,1
149.37521256772024,33.92608545679577,37.05217654659989,12.221303949301,34.95480970097884,3.2852387254091022,fillet,flat,0.65,accettabile,porosità_minima,0
281.65317719333075,24.79123781333945,11.52026924410504,17.341791404163445,34.71300908221201,3.507818178129503,fillet,overhead,0.198,difettosa,penetrazione_insufficiente,0
148.43198765548516,36.062795127597916,26.163528550071728,24.751347113422646,22.976488848891062,4.32689010455264,fillet,flat,0.675,accettabile,rinforzo_eccessivo,0
218.17858863764837,33.55128723684565,5.746452301753527,17.681395874489215,19.529915503958758,1.3669762739928752,fillet,flat,0.0,difettosa,crack,0
203.55027010549603,36.75420211814656,35.40605526676764,21.02824178861158,19.181432414754273,4.578148189787701,fillet,vertical,0.613,accettabile,rinforzo_eccessivo,0
211.04016231989246,30.59301156712013,15.883353090520325,11.396541517088489,32.944315159066534,8.354999801810942,lap,overhead,0.369,difettosa,penetrazione_insufficiente,0
169.84191492253217,34.51911357740479,45.36996169786597,23.30629636397676,30.597510917152476,4.051268119438307,fillet,flat,0.576,accettabile,porosità_minima,0
